Codigo,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6,Lab7,Lab8,Lab9,Lab10,Lab11,Lab12,Lab1,Lab2
20201437,12,18,13,9,1,2,10,9,1,2,8,3,15,3
20206399,16,9,12,16,11,5,14,8,20,13,18,11,10,2
20203132,19,7,8,0,6,19,13,2,9,3,5,1,1,14
20202848,3,2,18,4,18,12,8,17,8,10,18,13,0,14
20209180,4,5,20,8,5,8,2,10,8,8,17,20,10,12
20207795,4,6,0,17,18,8,9,9,8,5,17,19,4,8
20207759,0,13,19,3,15,14,5,15,1,5,5,14,14,17
20204690,2,9,17,20,0,15,0,12,6,12,19,19,15,1
20206321,19,11,3,9,3,3,8,11,1,6,13,2,10,18
20202346,9,17,16,6,20,18,2,10,12,1,10,6,0,14
20201343,6,4,11,7,4,7,10,15,11,3,11,12,9,14
20205879,7,6,16,9,7,0,16,14,0,10,14,8,15,15
20203825,7,1,14,10,16,17,5,19,17,0,18,17,4,13
20204434,15,0,13,19,8,19,9,13,17,3,18,13,1,13
20201963,4,7,19,11,5,0,14,17,0,8,11,5,5,8
20209492,2,18,18,7,11,17,19,8,14,4,10,5,2,14
20207500,16,5,8,17,19,7,1,13,9,13,10,2,18,1
20203759,13,14,0,18,9,5,0,10,5,3,6,14,9,19
20205779,18,0,15,20,14,17,18,8,15,6,3,6,17,19
20205402,7,15,3,15,18,13,8,2,13,6,16,0,5,13
20204067,2,8,11,10,20,17,16,5,0,4,18,3,20,14
20206739,10,0,12,0,17,6,6,1,8,9,19,15,10,18
20206652,0,19,2,0,18,13,7,19,5,20,6,6,1,5
20206606,0,0,15,15,10,0,3,11,20,7,6,14,14,10
20206276,17,10,9,10,7,6,1,16,6,2,3,12,6,15
20207683,14,10,20,19,4,4,15,15,17,2,20,9,12,18
20203854,14,1,15,1,15,16,9,14,15,9,11,17,9,6
20205152,16,19,17,13,13,17,4,0,6,10,3,1,8,15
20205936,20,8,0,8,1,15,3,0,6,2,13,13,8,12
20202471,17,0,7,17,13,8,2,16,18,17,18,18,4,16
20201050,20,8,11,8,13,3,13,10,17,5,18,6,8,19
20203155,0,15,17,16,16,1,12,16,14,18,0,16,17,7
20205090,18,18,18,7,11,8,15,14,4,15,3,13,12,13
20202524,9,14,11,16,10,11,20,6,6,1,1,0,11,11
20202158,4,19,9,18,13,2,7,20,19,3,14,3,0,4
20203704,5,0,18,1,7,10,13,13,11,16,4,5,19,7
20205801,8,14,18,17,17,7,11,12,7,6,4,2,18,13
20204454,19,11,4,9,14,7,8,18,11,8,8,5,6,19
20208012,9,11,17,4,7,16,15,13,5,19,7,7,19,2
20204909,12,12,12,11,17,12,17,8,6,16,6,10,5,4
